1,New Building for Govt   H  S  S Vellathooval,CSR project of TATA Community Initative Trust  Mumbai,,Dec. 2021,6000
2,"School Building
(B+G+ 3 floors)",Global Educatinal Trust  Girinagar,"Ar   Jacob Cheriayan
Palace Design",July 2022,6000
3,Vertical Extension of IGCSE block ,Global Public School  Thiruvaniyoor,,2021,2500
4,"Hospital Building with O  P  O  T  and furnished rooms
B+G+3FLOORS",Dr  Noushad,Mr   Roy Antony,May-2012,"16000 Sq ft
B+G+4"
5,Commercial Space with Mezzanine G+2 Floors at Kuruppumpady  Perumbavoor  ,"Mr   George Kaitharan
Kaitharan Build ware
Kurumussery  ",M/S Silpi Architects  ,September-2014,"30000Sq ft
G+2"
6,"Commercial Complex for Mr  Shukoor
Paravoor  ",Mr   Abdul Shukoor,M/S Silpi Architects,June -2016,"21500 Sq ft
G+4"
7,"Abad Golden Oak
Maradu  ","M/S Abad Builders Pvt Ltd
Nucleus Mall  Maradu  ","M/S Building Designs
Kadavantra  ",Noveber 2019,"70000Sq ft
G+11"
8,"Showroom for M/S Kalyan Jewelers, Pathanamthitta.","M/S Kalyan Jewelers
Thrissur  ",M/S Ahnas,May 2018,"7500 Sq ft
G+1"
9,"Commercial building Fortum Space at Edapally",Pinnacle Projects,M/s Nazer Associates  Calicut,January 2019,"25000 sq ft
B+G+3 floors"
10,"
Showroom for M/S Kalyan Jewelers, Pathanamthitta.","M/S Kalyan Jewelers
Thrissur  ",M/S Ahnas,May 2018,"7500 Sq ft
G+1"
11,"Commercial building Fortum Space at Edapally",Pinnacle Projects,M/s Nazer Associates  Calicut,January 2019,"25000 sq ft
B+G+3 floors"
